Sr. No.,Date,Exhibition Id,Visitor Id,Products,Payment Mode,Amount
71,20/Dec/2019,KOL12019,KOL1921332,Bag,Cash,2000
72,19/Dec/2019,KOL12019,KOL1847825,Bag,Cash,2000
73,19/Dec/2019,KOL12019,KOL1922552,Bag,Cash,1150
74,19/Dec/2019,KOL12019,KOL1968021,Bag,Cash,550
75,19/Dec/2019,KOL12019,KOL1874777,Bag,Cash,2000
76,19/Dec/2019,KOL12019,KOL1926464,Bag,Cash,2000
77,18/Dec/2019,KOL12019,KOL1955461,Bag,Cash,14075
78,18/Dec/2019,KOL12019,KOL1955461,Bag,Cash,7200
79,18/Dec/2019,KOL12019,KOL1923861,Bag,Cash,14070
80,18/Dec/2019,KOL12019,KOL1955461,Bag,Cash,5500
81,17/Dec/2019,KOL12019,KOL1944882,Bag,Credit Card,6500
82,17/Dec/2019,KOL12019,KOL1963182,Bag,Cash,10800
83,17/Dec/2019,KOL12019,KOL1957257,Bag,Credit Card,3000
84,16/Dec/2019,KOL12019,KOL1865782,Bag,Cash,2000
85,15/Dec/2019,KOL12019,KOL1147213,Bag,Cash,130
86,15/Dec/2019,KOL12019,KOL1936521,Bag,Cash,1350
87,15/Dec/2019,KOL12019,KOL1931683,Bag,Cash,1
88,15/Dec/2019,KOL12019,KOL1963211,Bag,Cash,2400
89,15/Dec/2019,KOL12019,KOL1924885,Bag,Cash,5400
90,15/Dec/2019,KOL12019,KOL1987534,Bag,Cash,1
91,15/Dec/2019,KOL12019,KOL1987534,Bag,Cash,15950
92,15/Dec/2019,KOL12019,KOL1978647,Bag,Credit Card,1000
93,15/Dec/2019,KOL12019,KOL1974141,Bag,Cash,2500
94,14/Dec/2019,KOL12019,KOL1972148,Bag,Cash,2500
95,14/Dec/2019,KOL12019,KOL1913178,Bag,Cash,2500
96,13/Dec/2019,KOL12019,KOL1963544,Bag,Cash,1000
97,13/Dec/2019,KOL12019,KOL1912653,Bag,Cash,400
98,25/Dec/2019,KOL12019,KOL1988113,"Bathroom Essentials,Oils",Cash,700
99,25/Dec/2019,KOL12019,KOL1945725,Bedsheet,Cash,16200
100,25/Dec/2019,KOL12019,KOL1911854,Bedsheet,Cash,5400
101,25/Dec/2019,KOL12019,KOL1911585,Bedsheet,Cash,8000
102,23/Dec/2019,KOL12019,KOL1973261,Bedsheet,Cash,2500
103,23/Dec/2019,KOL12019,KOL1914831,Bedsheet,Cash,5200
104,23/Dec/2019,KOL12019,KOL1914831,Bedsheet,Cash,5200
105,23/Dec/2019,KOL12019,KOL1913234,Bedsheet,Credit Card,10800
106,22/Dec/2019,KOL12019,KOL1975185,Bedsheet,Cash,550
107,22/Dec/2019,KOL12019,KOL1968156,Bedsheet,Cash,2700
108,22/Dec/2019,KOL12019,KOL1947851,Bedsheet,Cash,600
109,22/Dec/2019,KOL12019,KOL1942741,Bedsheet,Cash,1100
110,22/Dec/2019,KOL12019,KOL1933506,Bedsheet,Cash,3000
111,22/Dec/2019,KOL12019,KOL1984474,Bedsheet,Cash,2000
112,22/Dec/2019,KOL12019,KOL1933155,Bedsheet,Cash,2100
113,21/Dec/2019,KOL12019,KOL1976421,Bedsheet,Cash,2100
114,21/Dec/2019,KOL12019,KOL1982681,Bedsheet,Cash,900
115,21/Dec/2019,KOL12019,KOL1983734,Bedsheet,Cash,2500
116,21/Dec/2019,KOL12019,KOL1941575,Bedsheet,Cash,5750
117,20/Dec/2019,KOL12019,KOL1972365,Bedsheet,Cash,12550
118,18/Dec/2019,KOL12019,KOL1936322,Bedsheet,Cash,2000
119,18/Dec/2019,KOL12019,KOL1987443,Bedsheet,Cash,3000
120,18/Dec/2019,KOL12019,KOL1988484,Bedsheet,Credit Card,5300
121,15/Dec/2019,KOL12019,KOL1956255,Bedsheet,Cash,600
122,14/Dec/2019,KOL12019,KOL1971847,Bedsheet,Cash,1900
123,13/Dec/2019,KOL12019,KOL1941427,Bedsheet,Cash,600
124,13/Dec/2019,KOL12019,KOL1961653,Bedsheet,Cash,5140
125,25/Dec/2019,KOL12019,KOL1825512,Belt,Cash,350
126,18/Dec/2019,KOL12019,KOL1923861,Belt,Cash,7200
127,15/Dec/2019,KOL12019,KOL1913673,Belt,Cash,115
128,15/Dec/2019,KOL12019,KOL1974565,Belt,Cash,5000
129,15/Dec/2019,KOL12019,KOL1985848,Belt,Cash,2000
130,13/Dec/2019,KOL12019,KOL1883260,Belt,Cash,3600
131,25/Dec/2019,KOL12019,KOL1887866,"Belt,Wallet",Cash,1100
132,25/Dec/2019,KOL12019,KOL1951468,"Belt,Wallet,Bag",Cash,3200
133,22/Dec/2019,KOL12019,KOL1915331,"Belt,Wallet,Bag",Credit Card,5050
134,20/Dec/2019,KOL12019,KOL1951346,"Belt,Wallet,Bag",Cash,215
135,15/Dec/2019,KOL12019,KOL1987554,"Belt,Wallet,Bag",Cash,260
136,24/Dec/2019,KOL12019,KOL1942534,Body oil,Cash,146
137,23/Dec/2019,KOL12019,KOL1972142,Body oil,Cash,224
138,23/Dec/2019,KOL12019,KOL1972142,Body oil,Cash,1020
139,23/Dec/2019,KOL12019,KOL1966765,Body oil,Cash,3424
140,23/Dec/2019,KOL12019,KOL1957571,Body oil,Cash,2500
141,22/Dec/2019,KOL12019,KOL1941825,Body oil,Cash,224
142,22/Dec/2019,KOL12019,KOL1952224,Body oil,Cash,146
143,22/Dec/2019,KOL12019,KOL1124803,Body oil,Cash,224
144,22/Dec/2019,KOL12019,KOL1987321,Body oil,Cash,896
145,22/Dec/2019,KOL12019,KOL1934578,Body oil,Cash,109
146,21/Dec/2019,KOL12019,KOL1921721,Body oil,Cash,5024
147,21/Dec/2019,KOL12019,KOL1931833,Body oil,Cash,224
148,19/Dec/2019,KOL12019,KOL1853436,Body oil,Cash,7550
149,19/Dec/2019,KOL12019,KOL1853436,Body oil,Credit Card,448
150,19/Dec/2019,KOL12019,KOL1917538,Body oil,Cash,224
151,19/Dec/2019,KOL12019,KOL1853436,Body oil,Credit Card,448
152,17/Dec/2019,KOL12019,KOL1938438,Body oil,Cash,224
153,13/Dec/2019,KOL12019,KOL1964622,Body oil,Cash,146
154,25/Dec/2019,KOL12019,KOL1972678,Carpet,Cash,10000
155,25/Dec/2019,KOL12019,KOL1914387,Carpet,Cash,5500
156,24/Dec/2019,KOL12019,KOL1968414,Carpet,Cash,10000
157,24/Dec/2019,KOL12019,KOL1964821,Carpet,Cash,5000
158,23/Dec/2019,KOL12019,KOL1961338,Carpet,Cash,5000
159,23/Dec/2019,KOL12019,KOL1917872,Carpet,Cash,1200
160,23/Dec/2019,KOL12019,KOL1912411,Carpet,Cash,5000
161,23/Dec/2019,KOL12019,KOL1923525,Carpet,Cash,5969
162,23/Dec/2019,KOL12019,KOL1981678,Carpet,Cash,12000
163,22/Dec/2019,KOL12019,KOL1965256,Carpet,Cash,1200
164,22/Dec/2019,KOL12019,KOL1124803,Carpet,Cash,3500
165,22/Dec/2019,KOL12019,KOL1981118,Carpet,Cash,800
166,22/Dec/2019,KOL12019,KOL1867822,Carpet,Cash,5000
167,22/Dec/2019,KOL12019,KOL1957265,Carpet,Cash,8000
168,22/Dec/2019,KOL12019,KOL1927136,Carpet,Cash,9000
169,22/Dec/2019,KOL12019,KOL1934113,Carpet,Cash,12000
170,22/Dec/2019,KOL12019,KOL1915164,Carpet,Cash,7000
171,22/Dec/2019,KOL12019,KOL1974374,Carpet,Cash,9000
172,22/Dec/2019,KOL12019,KOL1942414,Carpet,Cash,12000
173,21/Dec/2019,KOL12019,KOL1915176,Carpet,Cash,6200
174,21/Dec/2019,KOL12019,KOL1973877,Carpet,Cash,8000
175,21/Dec/2019,KOL12019,KOL1918643,Carpet,Cash,2000
176,21/Dec/2019,KOL12019,KOL1937177,Carpet,Cash,5500
177,21/Dec/2019,KOL12019,KOL1982783,Carpet,Cash,5000
178,21/Dec/2019,KOL12019,KOL1700431,Carpet,Cash,4125
179,21/Dec/2019,KOL12019,KOL1938745,Carpet,Cash,9000
180,21/Dec/2019,KOL12019,KOL1946763,Carpet,Cash,5000
181,21/Dec/2019,KOL12019,KOL1924711,Carpet,Cash,550
182,21/Dec/2019,KOL12019,KOL1938865,Carpet,Cash,15000
183,21/Dec/2019,KOL12019,KOL1953126,Carpet,Cash,5000
184,21/Dec/2019,KOL12019,KOL1985264,Carpet,Cash,3000
185,20/Dec/2019,KOL12019,KOL1924617,Carpet,Cash,19000
186,20/Dec/2019,KOL12019,KOL1984728,Carpet,Cash,5000
187,20/Dec/2019,KOL12019,KOL1941264,Carpet,Cash,1400
188,20/Dec/2019,KOL12019,KOL1975718,Carpet,Cash,5000
189,20/Dec/2019,KOL12019,KOL1974345,Carpet,Cash,18000
190,20/Dec/2019,KOL12019,KOL1948243,Carpet,Cash,1600
191,20/Dec/2019,KOL12019,KOL1935822,Carpet,Cash,6000
192,20/Dec/2019,KOL12019,KOL1832585,Carpet,Cash,5100
193,19/Dec/2019,KOL12019,KOL1987846,Carpet,Cash,8000
194,19/Dec/2019,KOL12019,KOL1981538,Carpet,Cash,8000
195,19/Dec/2019,KOL12019,KOL1933642,Carpet,Cash,2500
196,19/Dec/2019,KOL12019,KOL1937210,Carpet,Credit Card,4000
197,19/Dec/2019,KOL12019,KOL1937210,Carpet,Credit Card,4000
198,18/Dec/2019,KOL12019,KOL1988626,Carpet,Cash,18000
199,18/Dec/2019,KOL12019,KOL1954736,Carpet,Cash,5500
200,18/Dec/2019,KOL12019,KOL1932824,Carpet,Cash,11500
201,18/Dec/2019,KOL12019,KOL1923861,Carpet,Cash,6000
202,18/Dec/2019,KOL12019,KOL1948873,Carpet,Cash,5500
203,17/Dec/2019,KOL12019,KOL1938383,Carpet,Cash,10730
204,17/Dec/2019,KOL12019,KOL1962655,Carpet,Credit Card,5000
205,17/Dec/2019,KOL12019,KOL1978245,Carpet,Cash,3500
206,17/Dec/2019,KOL12019,KOL1947141,Carpet,Cash,8000
207,17/Dec/2019,KOL12019,KOL1925878,Carpet,Credit Card,12209
208,15/Dec/2019,KOL12019,KOL1963581,Carpet,Cash,5000
209,15/Dec/2019,KOL12019,KOL1966514,Carpet,Cash,2000
210,15/Dec/2019,KOL12019,KOL1914458,Carpet,Cash,1300
211,15/Dec/2019,KOL12019,KOL1928487,Carpet,Cash,5000
212,15/Dec/2019,KOL12019,KOL1914387,Carpet,Credit Card,5500
213,14/Dec/2019,KOL12019,KOL1971847,Carpet,Cash,4000
214,13/Dec/2019,KOL12019,KOL1963581,Carpet,Cash,5000
215,13/Dec/2019,KOL12019,KOL1964134,Carpet,Cash,9800
216,24/Dec/2019,KOL12019,KOL1627143,Ceramic ware,Cash,3000
217,23/Dec/2019,KOL12019,KOL1955758,Ceramic ware,Cash,475
218,22/Dec/2019,KOL12019,KOL1913704,Ceramic ware,Cash,1000
219,22/Dec/2019,KOL12019,KOL1975137,Ceramic ware,Cash,840
220,21/Dec/2019,KOL12019,KOL1983734,Ceramic ware,Cash,1000
221,20/Dec/2019,KOL12019,KOL1923721,Ceramic ware,Cash,11200
222,20/Dec/2019,KOL12019,KOL1916628,Ceramic ware,Cash,500
223,20/Dec/2019,KOL12019,KOL1923721,Ceramic ware,Cash,4400
224,25/Dec/2019,KOL12019,KOL1922673,chandelier,Cash,5800
225,25/Dec/2019,KOL12019,KOL1938734,chandelier,Cash,5000
226,23/Dec/2019,KOL12019,KOL1906235,chandelier,Cash,7500
227,22/Dec/2019,KOL12019,KOL1967573,chandelier,Cash,5500
228,21/Dec/2019,KOL12019,KOL1967872,chandelier,Cash,250
229,21/Dec/2019,KOL12019,KOL1953284,chandelier,Credit Card,7000
230,15/Dec/2019,KOL12019,KOL1953743,chandelier,Cash,3500
231,18/Dec/2019,KOL12019,KOL1952111,Chappals,Cash,250
232,18/Dec/2019,KOL12019,KOL1947381,Chappals,Cash,500
233,14/Dec/2019,KOL12019,KOL1952337,Chappals,Cash,1100
234,17/Dec/2019,KOL12019,KOL1162104,"Chappals,Sandals",Cash,10559
235,25/Dec/2019,KOL12019,KOL1941512,Clock,Cash,14500
236,23/Dec/2019,KOL12019,KOL1917247,Clock,Cash,16600
237,23/Dec/2019,KOL12019,KOL1916464,Clock,Cash,6000
238,23/Dec/2019,KOL12019,KOL1942313,Clock,Cash,3800
239,23/Dec/2019,KOL12019,KOL1917872,Clock,Cash,4300
240,22/Dec/2019,KOL12019,KOL1932543,Clock,Cash,2700
241,22/Dec/2019,KOL12019,KOL1965441,Clock,Cash,1250
242,22/Dec/2019,KOL12019,KOL1965123,Clock,Cash,2200
243,22/Dec/2019,KOL12019,KOL1926514,Clock,Cash,10000
244,22/Dec/2019,KOL12019,KOL1934328,Clock,Cash,11000
245,20/Dec/2019,KOL12019,KOL1922671,Clock,Cash,4000
246,25/Dec/2019,KOL12019,KOL1981643,Cloths,Cash,5000
247,25/Dec/2019,KOL12019,KOL1967212,Cloths,Cash,5700
248,25/Dec/2019,KOL12019,KOL1922166,Cloths,Cash,17000
249,25/Dec/2019,KOL12019,KOL1921456,Cloths,Cash,1780
250,25/Dec/2019,KOL12019,KOL1916431,Cloths,Cash,2000
251,25/Dec/2019,KOL12019,KOL1982643,Cloths,Cash,2200
252,25/Dec/2019,KOL12019,KOL1982643,Cloths,Cash,6600
253,25/Dec/2019,KOL12019,KOL1924462,Cloths,Cash,4800
254,25/Dec/2019,KOL12019,KOL1951864,Cloths,Cash,5000
255,25/Dec/2019,KOL12019,KOL1844356,Cloths,Cash,5000
256,25/Dec/2019,KOL12019,KOL1917573,Cloths,Cash,5500
257,25/Dec/2019,KOL12019,KOL1967212,Cloths,Cash,200
258,25/Dec/2019,KOL12019,KOL1916582,Cloths,Credit Card,12300
259,25/Dec/2019,KOL12019,KOL1967212,Cloths,Cash,6750
260,25/Dec/2019,KOL12019,KOL1953867,Cloths,Cash,5500
261,25/Dec/2019,KOL12019,KOL1967212,Cloths,Cash,4300
262,25/Dec/2019,KOL12019,KOL1841823,Cloths,Cash,5000
263,25/Dec/2019,KOL12019,KOL1948734,Cloths,Cash,5500
264,25/Dec/2019,KOL12019,KOL1844356,Cloths,Cash,1900
265,25/Dec/2019,KOL12019,KOL1987375,Cloths,Cash,10100
266,23/Dec/2019,KOL12019,KOL1927611,Cloths,Cash,2100
267,13/Dec/2019,KOL12019,KOL1917545,Cloths,Cash,5300
268,13/Dec/2019,KOL12019,KOL1978476,Cloths,Cash,10000
269,13/Dec/2019,KOL12019,KOL1978476,Cloths,Cash,5000
270,13/Dec/2019,KOL12019,KOL1917545,Cloths,Cash,1500
271,24/Dec/2019,KOL12019,KOL1947472,Club Booking,Cash,5600
272,25/Dec/2019,KOL12019,KOL1982643,Coffee,Cash,4200
273,20/Dec/2019,KOL12019,KOL1986724,Coffee,Cash,200
274,25/Dec/2019,KOL12019,KOL1985414,Cosmetics,Cash,14500
275,25/Dec/2019,KOL12019,KOL1926163,Cosmetics,Cash,6000
276,25/Dec/2019,KOL12019,KOL1921574,Cosmetics,Credit Card,2590
277,25/Dec/2019,KOL12019,KOL1942212,Cosmetics,Cash,1200
278,23/Dec/2019,KOL12019,KOL1863718,Cosmetics,Cash,250
279,23/Dec/2019,KOL12019,KOL1976156,Cosmetics,Cash,150
280,23/Dec/2019,KOL12019,KOL1976156,Cosmetics,Cash,50
281,21/Dec/2019,KOL12019,KOL1974824,Cosmetics,Cash,550
282,20/Dec/2019,KOL12019,KOL1937848,Cosmetics,Cash,1145
283,20/Dec/2019,KOL12019,KOL1964273,Cosmetics,Credit Card,4500
284,20/Dec/2019,KOL12019,KOL1973158,Cosmetics,Cash,6000
285,13/Dec/2019,KOL12019,KOL1954227,Cosmetics,Cash,700
286,22/Dec/2019,KOL12019,KOL1945178,Cotton/Silk,Cash,5529
287,22/Dec/2019,KOL12019,KOL1981774,Cotton/Silk,Cash,3828
288,19/Dec/2019,KOL12019,KOL1982825,Cotton/Silk,Credit Card,4896
289,19/Dec/2019,KOL12019,KOL1982534,Cotton/Silk,Cash,7500
290,18/Dec/2019,KOL12019,KOL1938781,Cotton/Silk,Cash,7797
291,17/Dec/2019,KOL12019,KOL1982716,Cotton/Silk,Credit Card,19504
292,16/Dec/2019,KOL12019,KOL1962237,Cotton/Silk,Credit Card,10991
293,15/Dec/2019,KOL12019,KOL1915825,Cotton/Silk,Cash,2268
294,15/Dec/2019,KOL12019,KOL1921715,Cotton/Silk,Cash,10093
295,13/Dec/2019,KOL12019,KOL1163074,Cotton/Silk,Cash,1600
296,24/Dec/2019,KOL12019,KOL1956643,Crockery,Cash,5100
297,24/Dec/2019,KOL12019,KOL1968111,Crockery,Cash,5400
298,24/Dec/2019,KOL12019,KOL1913456,Crockery,Cash,5100
299,24/Dec/2019,KOL12019,KOL1982658,Crockery,Cash,2500
300,24/Dec/2019,KOL12019,KOL1936675,Crockery,Cash,5000
301,23/Dec/2019,KOL12019,KOL1955176,Crockery,Cash,2000
302,23/Dec/2019,KOL12019,KOL1953847,Crockery,Cash,3000
303,23/Dec/2019,KOL12019,KOL1912812,Crockery,Credit Card,5200
304,23/Dec/2019,KOL12019,KOL1925281,Crockery,Cash,2000
305,23/Dec/2019,KOL12019,KOL1958472,Crockery,Cash,4470
306,22/Dec/2019,KOL12019,KOL1934328,Crockery,Cash,2300
307,21/Dec/2019,KOL12019,KOL1863785,Crockery,Cash,1600
308,19/Dec/2019,KOL12019,KOL1933642,Crockery,Cash,390
309,19/Dec/2019,KOL12019,KOL1933642,Crockery,Cash,2400
310,19/Dec/2019,KOL12019,KOL1916787,Crockery,Cash,5200
311,19/Dec/2019,KOL12019,KOL1916787,Crockery,Cash,4260
312,17/Dec/2019,KOL12019,KOL1976375,Crockery,Cash,2000
313,16/Dec/2019,KOL12019,KOL1968857,Crockery,Cash,463
314,15/Dec/2019,KOL12019,KOL1944213,Crockery,Cash,3700
315,15/Dec/2019,KOL12019,KOL1827510,Crockery,Cash,2000
316,15/Dec/2019,KOL12019,KOL1934455,Crockery,Cash,1000
317,15/Dec/2019,KOL12019,KOL1938567,Crockery,Cash,400
318,15/Dec/2019,KOL12019,KOL1938567,Crockery,Cash,180
319,15/Dec/2019,KOL12019,KOL1915612,Crockery,Cash,2000
320,15/Dec/2019,KOL12019,KOL1976848,Crockery,Cash,3000
321,15/Dec/2019,KOL12019,KOL1924351,Crockery,Cash,2630
322,15/Dec/2019,KOL12019,KOL1977676,Crockery,Cash,6000
323,15/Dec/2019,KOL12019,KOL1915612,Crockery,Cash,16300
324,14/Dec/2019,KOL12019,KOL1961133,Crockery,Cash,3300
325,13/Dec/2019,KOL12019,KOL1968267,Crockery,Cash,3300
326,23/Dec/2019,KOL12019,KOL1926588,Decorative lights,Cash,400
327,22/Dec/2019,KOL12019,KOL1981118,Decorative lights,Cash,350
328,22/Dec/2019,KOL12019,KOL1977263,Decorative lights,Cash,200
329,21/Dec/2019,KOL12019,KOL1170727,Decorative lights,Cash,100
330,19/Dec/2019,KOL12019,KOL1985872,"Decorative lights,artificial candle & lights",Cash,1000
331,17/Dec/2019,KOL12019,KOL1971266,"Decorative lights,artificial candle & lights",Cash,900
332,19/Dec/2019,KOL12019,KOL1962254,Digestives and probiotics,Cash,1690
333,22/Dec/2019,KOL12019,KOL1975756,Dress material,Cash,9700
334,25/Dec/2019,KOL12019,KOL1934716,Dry Fruit,Cash,18700
335,25/Dec/2019,KOL12019,KOL1964486,Dry Fruit,Cash,40000
336,25/Dec/2019,KOL12019,KOL1915436,Dry Fruit,Cash,10000
337,25/Dec/2019,KOL12019,KOL1974366,Dry Fruit,Cash,10142
338,25/Dec/2019,KOL12019,KOL1958565,Dry Fruit,Cash,18000
339,25/Dec/2019,KOL12019,KOL1964852,Dry Fruit,Cash,10500
340,25/Dec/2019,KOL12019,KOL1988574,Dry Fruit,Cash,17100
341,25/Dec/2019,KOL12019,KOL1912872,Dry Fruit,Credit Card,10000
342,25/Dec/2019,KOL12019,KOL1983673,Dry Fruit,Cash,22700
343,25/Dec/2019,KOL12019,KOL1941352,Dry Fruit,Cash,500
344,25/Dec/2019,KOL12019,KOL1955613,Dry Fruit,Cash,17000
345,25/Dec/2019,KOL12019,KOL1962521,Dry Fruit,Cash,8500
346,25/Dec/2019,KOL12019,KOL1808222,Dry Fruit,Cash,8100
347,25/Dec/2019,KOL12019,KOL1971354,Dry Fruit,Cash,11400
348,24/Dec/2019,KOL12019,KOL1953317,Dry Fruit,Cash,10000
349,24/Dec/2019,KOL12019,KOL1985617,Dry Fruit,Cash,18000
350,24/Dec/2019,KOL12019,KOL1975687,Dry Fruit,Cash,11092
351,24/Dec/2019,KOL12019,KOL1981376,Dry Fruit,Cash,8119
352,24/Dec/2019,KOL12019,KOL1946236,Dry Fruit,Cash,7400
353,24/Dec/2019,KOL12019,KOL1922116,Dry Fruit,Cash,8000
354,24/Dec/2019,KOL12019,KOL1947651,Dry Fruit,Cash,8000
355,24/Dec/2019,KOL12019,KOL1967426,Dry Fruit,Cash,10000
356,24/Dec/2019,KOL12019,KOL1945152,Dry Fruit,Cash,10200
357,24/Dec/2019,KOL12019,KOL1973258,Dry Fruit,Cash,14000
358,24/Dec/2019,KOL12019,KOL1840530,Dry Fruit,Cash,9550
359,24/Dec/2019,KOL12019,KOL1962281,Dry Fruit,Cash,26000
360,24/Dec/2019,KOL12019,KOL1952614,Dry Fruit,Cash,8000
361,24/Dec/2019,KOL12019,KOL1967873,Dry Fruit,Credit Card,72000
362,24/Dec/2019,KOL12019,KOL1933418,Dry Fruit,Cash,9300
363,24/Dec/2019,KOL12019,KOL1981118,Dry Fruit,Cash,8000
364,24/Dec/2019,KOL12019,KOL1974284,Dry Fruit,Cash,57900
365,24/Dec/2019,KOL12019,KOL1966578,Dry Fruit,Cash,500
366,23/Dec/2019,KOL12019,KOL1964882,Dry Fruit,Cash,500
367,23/Dec/2019,KOL12019,KOL1938555,Dry Fruit,Cash,15000
368,23/Dec/2019,KOL12019,KOL1988381,Dry Fruit,Cash,10000
369,23/Dec/2019,KOL12019,KOL1937851,Dry Fruit,Cash,11200
370,23/Dec/2019,KOL12019,KOL1945553,Dry Fruit,Cash,10000
371,23/Dec/2019,KOL12019,KOL1938555,Dry Fruit,Cash,20350
372,23/Dec/2019,KOL12019,KOL1977287,Dry Fruit,Cash,23000
373,23/Dec/2019,KOL12019,KOL1915857,Dry Fruit,Cash,49500
374,23/Dec/2019,KOL12019,KOL1964882,Dry Fruit,Cash,500
375,23/Dec/2019,KOL12019,KOL1988458,Dry Fruit,Cash,19000
376,23/Dec/2019,KOL12019,KOL1925577,Dry Fruit,Cash,10000
377,23/Dec/2019,KOL12019,KOL1938183,Dry Fruit,Cash,15800
