Sr. No.,Date,ExhibitionId,Products,Mega Consumer Card No.,Payment Mode,Amount
56,25-Dec-18,KOL12018,Cloths,KOL1932235,Cash,5100
57,14-Dec-18,KOL12018,Suits,KOL1983764,Cash,213200
58,13-Dec-18,KOL12018,Garments,KOL1933540,Cash,1500
59,13-Dec-18,KOL12018,Suits,KOL1947257,Cash,7000
60,25-Dec-18,KOL12018,Garments,KOL1966617,Cash,6100
61,24-Dec-18,KOL12018,Garments,KOL1155808,Credit Card,590
62,24-Dec-18,KOL12018,Garments,KOL1948778,Cash,55000
63,23-Dec-18,KOL12018,Mattress,KOL1987646,Cash,1300
64,23-Dec-18,KOL12018,Necklace,KOL1923223,Cash,2000
65,25-Dec-18,KOL12018,Fruit Juices,KOL1941167,Cash,9200
66,25-Dec-18,KOL12018,Garments,KOL1972645,Cash,5500
67,23-Dec-18,KOL12018,Bag,KOL1966874,Cash,1400
68,17-Dec-18,KOL12018,Garments,KOL1155808,Credit Card,1900
69,23-Dec-18,KOL12018,Iron box lights,KOL1972822,Cash,2490
70,23-Dec-18,KOL12018,Remote Covers,KOL1978145,Cash,11200
71,23-Dec-18,KOL12018,Suits,KOL1934063,Credit Card,1000
72,17-Dec-18,KOL12018,Suits,KOL1965344,Cash,8800
73,23-Dec-18,KOL12018,Tableware,KOL1958122,Cash,4500
74,25-Dec-18,KOL12018,"Kitchen appliances,Home Appliances",KOL1155808,Credit Card,1250
75,25-Dec-18,KOL12018,"Mosquito Net,Blinds",KOL1920642,Cash,500
76,15-Dec-18,KOL12018,Furniture,KOL1987731,Credit Card,35000
77,15-Dec-18,KOL12018,Sofa cum bed,KOL1981452,Cash,43800
78,18-Dec-18,KOL12018,Suits,KOL1976247,Cash,1100
79,25-Dec-18,KOL12018,Cloths,KOL1956717,Credit Card,3400
80,25-Dec-18,KOL12018,Garments,KOL1971457,Cash,8000
81,15-Dec-18,KOL12018,Kurta,KOL1987840,Cash,4500
82,15-Dec-18,KOL12018,Suits,KOL1956717,Cash,1200
83,23-Dec-18,KOL12018,Home Appliances,VIS1945362,Cash,18900
84,23-Dec-18,KOL12018,Home Appliances,KOL1947257,Cash,4000
85,18-Dec-18,KOL12018,Jamdani Saree,KOL1921762,Credit Card,51000
86,23-Dec-18,KOL12018,Jamdani Saree,KOL1927645,Cash,6700
87,15-Dec-18,KOL12018,Massager,KOL1951683,Cash,4400
88,25-Dec-18,KOL12018,Home Appliances,KOL1958347,Cash,44000
89,25-Dec-18,KOL12018,shoe rack,KOL1912873,Cash,1500
90,20-Dec-18,KOL12018,Carpet,KOL1920148,Credit Card,28000
91,23-Dec-18,KOL12018,Home Decor,KOL1927353,Cash,400
92,25-Dec-18,KOL12018,Duppatta,KOL1942471,Cash,4100
93,23-Dec-18,KOL12018,Clock,KOL1975575,Cash,5500
94,23-Dec-18,KOL12018,Garments,KOL1908863,Cash,20000
95,14-Dec-18,KOL12018,Home Appliances,KOL1954228,Cash,7000
96,21-Dec-18,KOL12018,Bedsheet,KOL1934063,Cash,1000
97,21-Dec-18,KOL12018,Ceramic ware,KOL1945824,Net Banking,1500
98,21-Dec-18,KOL12018,jute bags,KOL1924578,Cash,10000
99,23-Dec-18,KOL12018,Suits,KOL1947554,Cash,6000
100,21-Dec-18,KOL12018,artificial candle & lights,KOL1918766,Cash,2000
101,23-Dec-18,KOL12018,Jamdani Saree,KOL1987704,Cash,7000
102,23-Dec-18,KOL12018,kurti,KOL1982683,Cash,5000
103,23-Dec-18,KOL12018,Papad,KOL1956518,Cash,2500
104,23-Dec-18,KOL12018,Papad,KOL1106585,Cash,10000
105,23-Dec-18,KOL12018,Saree,KOL1925803,Cash,6000
106,21-Dec-18,KOL12018,Garments,KOL1933275,Cash,5600
107,21-Dec-18,KOL12018,Garments,KOL1927353,Cash,4000
108,21-Dec-18,KOL12018,Garments,KOL1982712,Cash,2750
109,21-Dec-18,KOL12018,Suits,KOL1926345,Cash,4000
110,24-Dec-18,KOL12018,Suits,KOL1933540,Cash,1150
111,17-Dec-18,KOL12018,Garments,KOL1925415,Cash,2500
112,17-Dec-18,KOL12018,Product Name dummy text,KOL1975184,Cash,7600
113,14-Dec-18,KOL12018,Jamdani Saree,KOL1914852,Cash,454
114,20-Dec-18,KOL12018,Jamdani Saree,KOL1927243,Credit Card,1400
115,20-Dec-18,KOL12018,Suits,KOL1918766,Cash,1400
116,22-Dec-18,KOL12018,Shawl,KOL1943164,Cash,3200
117,18-Dec-18,KOL12018,Tableware,KOL1924855,Cash,800
118,15-Dec-18,KOL12018,Suits,KOL1968352,Cash,5600
119,15-Dec-18,KOL12018,Suits,KOL1948036,Cash,2200
120,22-Dec-18,KOL12018,healthacare products,KOL1938121,Cash,6000
121,22-Dec-18,KOL12018,"Rings,Necklace",KOL1913717,Cash,2400
122,24-Dec-18,KOL12018,Suits,KOL1920311,Credit Card,32000
123,23-Dec-18,KOL12018,artificial candle & lights,KOL1983571,Cash,850
124,23-Dec-18,KOL12018,Table Covers,KOL1955842,Cash,5600
125,23-Dec-18,KOL12018,Wallpaper,KOL1910363,Cash,5200
126,22-Dec-18,KOL12018,Massager,KOL1932158,Cash,1750
127,22-Dec-18,KOL12018,Massager,KOL1932445,Cash,4600
128,22-Dec-18,KOL12018,Jamdani Saree,KOL1935610,Cash,2000
129,22-Dec-18,KOL12018,Suits,KOL1954345,Cash,15000
130,23-Dec-18,KOL12018,Etthnic Wear,KOL1955932,Cash,500
131,21-Dec-18,KOL12018,Garments,KOL1950646,Cash,750
132,15-Dec-18,KOL12018,Suits,KOL1914292,Cash,5100
133,17-Dec-18,KOL12018,Fruit Juices,KOL1972056,Cash,500
134,17-Dec-18,KOL12018,Jamdani Saree,KOL1932168,Cash,3000
135,22-Dec-18,KOL12018,Carpet,KOL1934503,Cash,13500
136,15-Dec-18,KOL12018,gym products,KOL1971885,Cash,5000
137,15-Dec-18,KOL12018,Massager,KOL1982732,Credit Card,3000
138,15-Dec-18,KOL12018,Massager,KOL1973361,Cash,2000
139,15-Dec-18,KOL12018,Steam Irons,KOL1913939,Cash,1250
140,15-Dec-18,KOL12018,Steam Irons,KOL1976363,Cash,10500
141,21-Dec-18,KOL12018,Kitchen appliances,KOL1923225,Cash,20250
142,18-Dec-18,KOL12018,Garments,KOL1917208,Cash,104000
143,18-Dec-18,KOL12018,"Rings,Necklace",KOL1921817,Credit Card,4000
144,25-Dec-18,KOL12018,Duppatta,KOL1946843,Cash,3000
145,25-Dec-18,KOL12018,HealthCare,KOL1915642,Cash,3200
146,25-Dec-18,KOL12018,Saree,KOL1935717,Cash,15000
147,22-Dec-18,KOL12018,Jamdani Saree,KOL1926081,Cash,500
148,17-Dec-18,KOL12018,Suits,KOL1942167,Cash,5200
149,25-Dec-18,KOL12018,Cloths,KOL1921562,Cash,3000
150,19-Dec-18,KOL12018,Garments,KOL1987840,Cash,5000
151,19-Dec-18,KOL12018,handloom,KOL1958848,Cash,20500
152,13-Dec-18,KOL12018,Home Appliances,KOL1953218,Cash,2100
153,18-Dec-18,KOL12018,Jamdani Saree,KOL1916658,Cash,490
154,22-Dec-18,KOL12018,Wallpaper,KOL1936684,Cash,6500
155,21-Dec-18,KOL12018,Home Appliances,KOL1914204,Cash,1000
156,21-Dec-18,KOL12018,Table Covers,KOL1955736,Cash,5500
157,23-Dec-18,KOL12018,Jamdani Saree,KOL1977034,Cash,10000
158,23-Dec-18,KOL12018,Jamdani Saree,KOL1963941,Cash,600
159,14-Dec-18,KOL12018,Suits,KOL1967187,Cash,15702
160,19-Dec-18,KOL12018,Suits,KOL1913939,Cash,2200
161,23-Dec-18,KOL12018,Jamdani Saree,KOL1915953,Cash,1600
162,23-Dec-18,KOL12018,kurti,KOL1946108,Cash,3600
163,20-Dec-18,KOL12018,Remote Covers,KOL1938147,Cash,5700
164,17-Dec-18,KOL12018,Jamdani Saree,KOL1903674,Cash,6300
165,13-Dec-18,KOL12018,Fruit Juices,KOL1982789,Cash,6000
166,20-Dec-18,KOL12018,"Kurta, Dressmaterial,Sarees,Suits",KOL1942744,Cash,1400
167,20-Dec-18,KOL12018,Suits,KOL1935861,Cash,38000
168,14-Dec-18,KOL12018,Air Cooler,KOL1984727,Cash,600
169,22-Dec-18,KOL12018,Suits,KOL1927418,Cash,6500
170,22-Dec-18,KOL12018,textile product,KOL1963877,Cash,2400
171,21-Dec-18,KOL12018,Jamdani Saree,KOL1950646,Cash,1400
172,21-Dec-18,KOL12018,kurti,KOL1946575,Credit Card,22000
173,21-Dec-18,KOL12018,"mayonise, butter, cheese",KOL1938462,Credit Card,1750
174,21-Dec-18,KOL12018,Bedsheet,KOL1913053,Cash,5730
175,21-Dec-18,KOL12018,Suits,KOL1963941,Cash,700
176,25-Dec-18,KOL12018,Garments,KOL1967557,Credit Card,6000
177,25-Dec-18,KOL12018,Attar,KOL1984064,Cash,2500
178,24-Dec-18,KOL12018,gym products,KOL1936574,Cash,5000
179,18-Dec-18,KOL12018,Steam Irons,KOL1930123,Credit Card,10800
180,21-Dec-18,KOL12018,Garments,KOL1902623,Cash,1500
181,21-Dec-18,KOL12018,kurti,KOL1916658,Cash,1684
182,21-Dec-18,KOL12018,Garments,KOL1906820,Credit Card,1700
183,21-Dec-18,KOL12018,Suits,KOL1946108,Cash,3700
184,21-Dec-18,KOL12018,Suits,KOL1933267,Cash,7100
185,15-Dec-18,KOL12018,Bag,KOL1964434,Cash,750
186,15-Dec-18,KOL12018,"Wallet,Bag",KOL1986656,Credit Card,55951
187,18-Dec-18,KOL12018,Modular Kitchen,KOL1963877,Cash,3700
188,22-Dec-18,KOL12018,Sofa cum bed,KOL1913939,Cash,2800
189,24-Dec-18,KOL12018,gym products,KOL1932158,Cash,16000
190,21-Dec-18,KOL12018,jute bags,KOL1903358,Credit Card,87200
191,21-Dec-18,KOL12018,Steam Irons,KOL1932445,Cash,1200
192,15-Dec-18,KOL12018,Suits,KOL1105236,Cash,6700
193,15-Dec-18,KOL12018,Suits,KOL1982732,Credit Card,400
194,24-Dec-18,KOL12018,Jamdani Saree,KOL1938383,Cash,6800
195,25-Dec-18,KOL12018,healthacare products,KOL1987248,Credit Card,1400
196,25-Dec-18,KOL12018,Wood  furniture,KOL1946602,Cash,3800
197,15-Dec-18,KOL12018,Garments,KOL1981854,Cash,10002
198,15-Dec-18,KOL12018,Suits,KOL1966308,Cash,6300
199,17-Dec-18,KOL12018,Necklace,KOL1988010,Cash,5000
200,23-Dec-18,KOL12018,Suits,KOL1983638,Cash,6000
201,23-Dec-18,KOL12018,Suits,KOL1916158,Cash,600
202,23-Dec-18,KOL12018,Suits,KOL1932637,Cash,700
203,20-Dec-18,KOL12018,Jamdani Saree,KOL1938770,Credit Card,4000
204,18-Dec-18,KOL12018,Jamdani Saree,KOL1933121,Cash,2000
205,18-Dec-18,KOL12018,Mat/Chatai,KOL1937313,Cash,23500
206,18-Dec-18,KOL12018,Necklace,KOL1914110,Cash,3200
207,25-Dec-18,KOL12018,"Kurta, Dressmaterial,Sarees,Suits",KOL1945406,Cash,5000
208,17-Dec-18,KOL12018,Garments,KOL1913232,Cash,1000
209,22-Dec-18,KOL12018,Garments,KOL1932158,Cash,400
210,22-Dec-18,KOL12018,Garments,KOL1906144,Credit Card,35350
211,22-Dec-18,KOL12018,Suits,KOL1965088,Cash,3000
212,22-Dec-18,KOL12018,Suits,KOL1904666,Credit Card,4500
213,22-Dec-18,KOL12018,Wallet,KOL1915205,Cash,7000
214,15-Dec-18,KOL12018,Carpet,KOL1915312,Cash,6500
215,13-Dec-18,KOL12018,Carpet,KOL1934744,Cash,7000
216,20-Dec-18,KOL12018,Garments,KOL1993162,Cash,2500
217,20-Dec-18,KOL12018,"Product Name dummy text,artificial candle & lights",KOL1916658,Credit Card,2500
218,18-Dec-18,KOL12018,Accessories,KOL1947701,Cash,6000
219,18-Dec-18,KOL12018,Fruit Juices,KOL1915953,Cash,2500
220,20-Dec-18,KOL12018,Kitchen appliances,KOL1964622,Cash,1000
221,20-Dec-18,KOL12018,Suits,KOL1970522,Cash,59000
222,16-Dec-18,KOL12018,gym products,KOL1935532,Credit Card,1000
223,24-Dec-18,KOL12018,Suits,KOL1920334,Cash,15290
224,25-Dec-18,KOL12018,Bedsheet,KOL1901567,Cash,2000
225,18-Dec-18,KOL12018,Suits,KOL1964434,Cash,560
226,23-Dec-18,KOL12018,Bag,KOL1981512,Cash,6800
227,25-Dec-18,KOL12018,Furniture,KOL1924823,Cash,4800
228,22-Dec-18,KOL12018,Garments,KOL1916453,Cash,400
229,22-Dec-18,KOL12018,Suits,KOL1927403,Credit Card,36745
230,19-Dec-18,KOL12018,Garments,KOL1915545,Credit Card,5100
231,22-Dec-18,KOL12018,Suits,KOL1916774,Cash,2100
232,19-Dec-18,KOL12018,Sofa cum bed,KOL1945406,Cash,2500
233,15-Dec-18,KOL12018,Bag,KOL1935610,Cash,2200
234,15-Dec-18,KOL12018,Wallet,KOL1963877,Cash,500
235,23-Dec-18,KOL12018,Suits,KOL1938147,Cash,6600
236,25-Dec-18,KOL12018,Home Appliances,KOL1941625,Credit Card,1500
237,25-Dec-18,KOL12018,Lamps,KOL1983237,Cash,1500
238,25-Dec-18,KOL12018,Mattress,KOL1987840,Cash,2500
239,25-Dec-18,KOL12018,Pens,KOL1914204,Cash,1850
240,25-Dec-18,KOL12018,Pens,KOL1972056,Cash,1000
241,25-Dec-18,KOL12018,Pens,KOL1945406,Cash,1300
242,25-Dec-18,KOL12018,textile product,KOL1911842,Cash,400
243,23-Dec-18,KOL12018,Furniture,KOL1953051,Cash,5100
244,23-Dec-18,KOL12018,Furniture,KOL1975884,Cash,1200
245,15-Dec-18,KOL12018,Wood  furniture,KOL1951068,Credit Card,6900
246,22-Dec-18,KOL12018,Jamdani Saree,KOL1964434,Cash,1500
247,17-Dec-18,KOL12018,Air Cooler,KOL1926081,Cash,1200
248,15-Dec-18,KOL12018,Bag,KOL1952638,Net Banking,2800
249,25-Dec-18,KOL12018,Garments,KOL1955932,Cash,1900
250,25-Dec-18,KOL12018,Duppatta,KOL1915086,Cash,17050
251,25-Dec-18,KOL12018,Necklace,KOL1916158,Cash,1500
252,25-Dec-18,KOL12018,Necklace,KOL1911504,Credit Card,28000
253,25-Dec-18,KOL12018,Saree,KOL1940773,Cash,16000
254,25-Dec-18,KOL12018,Steamer,KOL1964171,Cash,11400
255,22-Dec-18,KOL12018,Jamdani Saree,KOL1948731,Cash,7800
256,23-Dec-18,KOL12018,Home Decor,KOL1987567,Credit Card,15000
257,23-Dec-18,KOL12018,Massager,KOL1983552,Cash,4000
258,23-Dec-18,KOL12018,Suits,KOL1154756,Cash,2500
259,25-Dec-18,KOL12018,Garments,KOL1941625,Cash,2500
260,25-Dec-18,KOL12018,kurti,KOL1975884,Cash,1000
261,14-Dec-18,KOL12018,Suits,KOL1953755,Cash,16000
262,20-Dec-18,KOL12018,Lamps,KOL1950646,Cash,1000
263,25-Dec-18,KOL12018,Papad,KOL1913939,Cash,3200
264,14-Dec-18,KOL12018,Jamdani Saree,KOL1945677,Cash,34000
265,14-Dec-18,KOL12018,Jamdani Saree,KOL1901567,Cash,1200
266,22-Dec-18,KOL12018,kurti,KOL1936316,Cash,1500
267,22-Dec-18,KOL12018,Home Decor,KOL1951472,Cash,5700
268,22-Dec-18,KOL12018,Sofa cum bed,KOL1983571,Cash,1000
269,25-Dec-18,KOL12018,Suits,KOL1984847,Credit Card,48000
270,24-Dec-18,KOL12018,Air Cooler,KOL1916453,Cash,1260
271,19-Dec-18,KOL12018,Pulses,KOL1950646,Cash,1100
272,19-Dec-18,KOL12018,Steam Irons,KOL1932168,Cash,500
273,22-Dec-18,KOL12018,Jamdani Saree,KOL1900071,Cash,17680
274,22-Dec-18,KOL12018,Home Appliances,KOL1907720,Cash,6200
275,18-Dec-18,KOL12018,Jamdani Saree,KOL1946108,Cash,1700
276,16-Dec-18,KOL12018,Suits,KOL1961803,Credit Card,32000
277,19-Dec-18,KOL12018,Bag,KOL1900001,Cash,5200
278,18-Dec-18,KOL12018,Garments,KOL1935418,Cash,1500
279,18-Dec-18,KOL12018,Necklace,KOL1941625,Credit Card,700
280,19-Dec-18,KOL12018,Home Appliances,KOL1915237,Cash,2500
281,25-Dec-18,KOL12018,Garments,KOL1987446,Cash,9000
282,25-Dec-18,KOL12018,Garments,KOL1988010,Cash,19000
283,25-Dec-18,KOL12018,Home Appliances,KOL1915123,Cash,3900
284,14-Dec-18,KOL12018,gym products,KOL1913232,Cash,3100
285,25-Dec-18,KOL12018,Wallet,KOL1975884,Cash,6000
286,24-Dec-18,KOL12018,Suits,KOL1973361,Credit Card,1500
287,25-Dec-18,KOL12018,Garments,KOL1913717,Cash,500
288,22-Dec-18,KOL12018,Sofa cum bed,KOL1920504,Cash,2500
289,22-Dec-18,KOL12018,Furniture,KOL1965088,Cash,1650
290,23-Dec-18,KOL12018,Mattress,KOL1932568,Cash,3900
291,20-Dec-18,KOL12018,Suits,KOL1932168,Cash,2000
292,19-Dec-18,KOL12018,Garments,KOL1982567,Cash,6300
293,25-Dec-18,KOL12018,Garments,KOL1913717,Cash,3900
294,25-Dec-18,KOL12018,Garments,KOL1981593,Cash,2000
295,20-Dec-18,KOL12018,Fruit Juices,KOL1901546,Cash,6800
296,20-Dec-18,KOL12018,Kurta,KOL1908250,Cash,5000
297,15-Dec-18,KOL12018,Suits,KOL1915237,Cash,800
298,24-Dec-18,KOL12018,Furniture,KOL1981593,Cash,1700
299,24-Dec-18,KOL12018,Furniture,KOL1943006,Credit Card,7500
300,18-Dec-18,KOL12018,Jamdani Saree,KOL1962358,Cash,7000
301,18-Dec-18,KOL12018,kurti,KOL1954654,Cash,3550
302,18-Dec-18,KOL12018,Necklace,KOL1955932,Cash,2500
303,19-Dec-18,KOL12018,kurti,KOL1974345,Cash,2200
304,25-Dec-18,KOL12018,Wood  furniture,KOL1932012,Cash,1000
305,13-Dec-18,KOL12018,Massager,KOL1987513,Cash,5500
306,13-Dec-18,KOL12018,Shawl,KOL1913933,Cash,5750
307,19-Dec-18,KOL12018,Garments,KOL1922102,Cash,5500
308,19-Dec-18,KOL12018,Garments,KOL1948036,Cash,6700
309,19-Dec-18,KOL12018,kurti,KOL1915274,Cash,400
310,15-Dec-18,KOL12018,Suits,KOL1952528,Cash,1000
311,23-Dec-18,KOL12018,Mayonnaise,KOL1937824,Cash,5700
312,25-Dec-18,KOL12018,Garments,KOL1117713,Cash,14290
313,13-Dec-18,KOL12018,Jamdani Saree,KOL1987248,Cash,800
314,24-Dec-18,KOL12018,Sofa cum bed,KOL1987387,Cash,12000
315,24-Dec-18,KOL12018,Sofa cum bed,KOL1974345,Cash,3240
316,23-Dec-18,KOL12018,Suits,KOL1916158,Cash,1500
317,22-Dec-18,KOL12018,Sofa cum bed,KOL1907720,Cash,3000
318,21-Dec-18,KOL12018,Jamdani Saree,KOL1945145,Cash,6300
319,25-Dec-18,KOL12018,Garments,KOL1988443,Cash,5300
320,22-Dec-18,KOL12018,Steam Irons,KOL1913717,Credit Card,1800
321,22-Dec-18,KOL12018,Suits,KOL1927632,Cash,2400
322,18-Dec-18,KOL12018,Saree,KOL1945406,Cash,2400
323,25-Dec-18,KOL12018,kurti,KOL1915274,Cash,2450
324,23-Dec-18,KOL12018,Saffron,KOL1950646,Cash,900
325,13-Dec-18,KOL12018,Saffron,KOL1970668,Cash,5500
326,22-Dec-18,KOL12018,Massager,KOL1915312,Cash,5500
327,17-Dec-18,KOL12018,Crockery,KOL1907030,Cash,2000
328,17-Dec-18,KOL12018,Jamdani Saree,KOL1907330,Cash,1590
329,17-Dec-18,KOL12018,Steam Irons,KOL1955706,Credit Card,63179
330,25-Dec-18,KOL12018,Electric Tandoor,KOL1946843,Net Banking,2500
331,25-Dec-18,KOL12018,Jamdani Saree,KOL1963244,Cash,5500
332,25-Dec-18,KOL12018,Suits,KOL1961272,Cash,2000
333,23-Dec-18,KOL12018,Etthnic Wear,KOL1936684,Cash,3600
334,23-Dec-18,KOL12018,Garments,KOL1954833,Cash,750
335,23-Dec-18,KOL12018,Garments,KOL1933161,Cash,6300
336,23-Dec-18,KOL12018,Garments,KOL1923121,Cash,4500
337,23-Dec-18,KOL12018,Lamps,KOL1985136,Cash,5932
338,23-Dec-18,KOL12018,Lamps,KOL1914171,Cash,5000
339,23-Dec-18,KOL12018,Pants,KOL1942263,Credit Card,600
340,23-Dec-18,KOL12018,"Fruits,Vegetables",KOL1961272,Cash,750
341,23-Dec-18,KOL12018,healthacare products,KOL1954654,Cash,1500
342,25-Dec-18,KOL12018,Kurta,KOL1927632,Cash,3000
343,25-Dec-18,KOL12018,Salwar,KOL1971885,Cash,5200
344,25-Dec-18,KOL12018,Suits,KOL1916658,Cash,1500
345,25-Dec-18,KOL12018,Suits,KOL1926105,Cash,6000
346,13-Dec-18,KOL12018,Suits,KOL1907725,Cash,900
347,23-Dec-18,KOL12018,Water purifier,KOL1988443,Cash,1800
348,22-Dec-18,KOL12018,gym products,KOL1900581,Cash,5200
349,21-Dec-18,KOL12018,Garments,KOL1975884,Cash,4000
350,19-Dec-18,KOL12018,Garments,KOL1916158,Cash,1500
351,19-Dec-18,KOL12018,healthacare products,KOL1936163,Cash,6700
352,23-Dec-18,KOL12018,Suits,KOL1933121,Cash,1700
353,25-Dec-18,KOL12018,Garments,KOL1936246,Cash,1780
354,25-Dec-18,KOL12018,Furniture,KOL1983237,Cash,2000
355,25-Dec-18,KOL12018,Jamdani Saree,KOL1946108,Cash,10000
356,18-Dec-18,KOL12018,Home Appliances,KOL1965337,Cash,5000
357,18-Dec-18,KOL12018,Suits,KOL1915312,Cash,1700
358,17-Dec-18,KOL12018,Suits,KOL1963941,Cash,600
359,24-Dec-18,KOL12018,Club Booking,KOL1943814,Cash,5700
360,18-Dec-18,KOL12018,Home Decor,KOL1907720,Cash,13200
361,25-Dec-18,KOL12018,Sofa cum bed,KOL1984310,Cash,3950
362,25-Dec-18,KOL12018,handloom,KOL1938462,Cash,1580
363,17-Dec-18,KOL12018,Suits,KOL1965451,Cash,2750
364,15-Dec-18,KOL12018,Flavored Drinks,KOL1946602,Cash,2000
365,15-Dec-18,KOL12018,Flavored Drinks,KOL1937878,Cash,2200
366,13-Dec-18,KOL12018,Body oil,KOL1917332,Cash,6300
367,13-Dec-18,KOL12018,Suits,KOL1966456,Cash,3100
368,15-Dec-18,KOL12018,Crockery,KOL1968415,Cash,1950
369,19-Dec-18,KOL12018,Cotton/Silk,KOL1975823,Cash,3700
370,22-Dec-18,KOL12018,jute bags,KOL1945312,Cash,5100
371,22-Dec-18,KOL12018,Tea,KOL1987715,Cash,2700
372,16-Dec-18,KOL12018,Mat/Chatai,KOL1972463,Cash,5650
373,19-Dec-18,KOL12018,Cotton/Silk,KOL1925614,Cash,9800
374,22-Dec-18,KOL12018,kurti,KOL1955001,Cash,1500
375,22-Dec-18,KOL12018,Body oil,KOL1904435,Cash,1750
376,22-Dec-18,KOL12018,Garments,KOL1965451,Cash,700
377,22-Dec-18,KOL12018,Suits,KOL1982043,Cash,550
378,22-Dec-18,KOL12018,Jamdani Saree,KOL1933060,Cash,1120
379,22-Dec-18,KOL12018,Wood  furniture,KOL1915215,Cash,8000
380,22-Dec-18,KOL12018,Bag,KOL1915215,Cash,1200
381,22-Dec-18,KOL12018,Body oil,KOL1942220,Cash,2400
382,22-Dec-18,KOL12018,Suits,KOL1966773,Cash,900
383,22-Dec-18,KOL12018,Wood  furniture,KOL1916684,Cash,3000
384,22-Dec-18,KOL12018,Jamdani Saree,KOL1918600,Cash,5000
385,23-Dec-18,KOL12018,Carpet,KOL1902487,Credit Card,3500
386,23-Dec-18,KOL12018,Clock,KOL1958427,Cash,5000
387,23-Dec-18,KOL12018,Suits,KOL1970516,Credit Card,42200
